venue,symbol_raw,base_token,quote_asset,last_price,price_change_24h_pct,volume_24h_base,volume_24h_quote,turnover_24h_usd,open_interest,snapshot_time
binance,ACXUSDT,ACX,USDT,0.0422100,-3.144,40175976.8,1733480.1778420,1733480.1778420,,2026-04-10T07:36:32+00:00
binance,ADAUSDC,ADA,USDC,0.250700,-0.239,40857018.3,10361061.809680,10361061.809680,,2026-04-10T07:36:26+00:00
binance,ADAUSDT,ADA,USDT,0.25080,-0.199,566191247,143460449.92840,143460449.92840,,2026-04-10T07:36:30+00:00
binance,AERGOUSDT,AERGO,USDT,0.0539600,0.653,9873334,533741.7922800,533741.7922800,,2026-04-10T07:35:00+00:00
binance,AEROUSDT,AERO,USDT,0.3682000,8.935,24825274.2,8868981.8189800,8868981.8189800,,2026-04-10T07:36:03+00:00
binance,AEVOUSDT,AEVO,USDT,0.0232600,-2.881,56662639.5,1342924.8301190,1342924.8301190,,2026-04-10T07:36:25+00:00
binance,AGLDUSDT,AGLD,USDT,0.2539000,1.276,10107082,2594461.6673000,2594461.6673000,,2026-04-10T07:36:18+00:00
binance,AGTUSDT,AGT,USDT,0.0145770,9.791,10272281904,147037170.4181070,147037170.4181070,,2026-04-10T07:36:30+00:00
binance,AIUSDT,AI,USDT,0.019200,0.576,262677591,5186627.361460,5186627.361460,,2026-04-10T07:36:29+00:00
binance,AIAUSDT,AIA,USDT,0.1341900,-5.646,83991985,11903685.5775500,11903685.5775500,,2026-04-10T07:36:31+00:00
binance,AINUSDT,AIN,USDT,0.0576800,0.069,20890498,1202485.6934800,1202485.6934800,,2026-04-10T07:36:24+00:00
binance,AIOUSDT,AIO,USDT,0.0708500,-0.506,9906046,703280.5765900,703280.5765900,,2026-04-10T07:36:27+00:00
binance,AIOTUSDT,AIOT,USDT,0.0351200,-6.521,862910324,31435778.2517900,31435778.2517900,,2026-04-10T07:36:32+00:00
binance,AIXBTUSDT,AIXBT,USDT,0.0249100,-5.141,270069061,7050391.0054700,7050391.0054700,,2026-04-10T07:36:27+00:00
binance,AKEUSDT,AKE,USDT,0.0004081,70.682,138782312486,52059156.4732667,52059156.4732667,,2026-04-10T07:36:31+00:00
binance,AKTUSDT,AKT,USDT,0.4668000,3.549,4975448.8,2316290.1187500,2316290.1187500,,2026-04-10T07:36:27+00:00
binance,ALCHUSDT,ALCH,USDT,0.0660000,2.294,13516809,891266.3028900,891266.3028900,,2026-04-10T07:36:27+00:00
binance,ALGOUSDT,ALGO,USDT,0.1100,-1.079,269626547.3,30327369.5049,30327369.5049,,2026-04-10T07:36:25+00:00
binance,ALICEUSDT,ALICE,USDT,0.113,-0.877,19427482.9,2214807.333,2214807.333,,2026-04-10T07:36:27+00:00
binance,ALLUSDT,ALL,USDT,0.482300,1.430,660555,316827.122700,316827.122700,,2026-04-10T07:36:20+00:00
binance,ALLOUSDT,ALLO,USDT,0.1032500,-6.366,15230854,1613014.5831700,1613014.5831700,,2026-04-10T07:36:25+00:00
binance,ALPINEUSDT,ALPINE,USDT,0.408100,0.074,1468923.8,601712.206630,601712.206630,,2026-04-10T07:36:25+00:00
binance,ALTUSDT,ALT,USDT,0.0066590,-2.275,596829145,4035742.0629600,4035742.0629600,,2026-04-10T07:36:30+00:00
binance,ANIMEUSDT,ANIME,USDT,0.0045750,-0.262,752565056,3462112.3701720,3462112.3701720,,2026-04-10T07:36:25+00:00
binance,ANKRUSDT,ANKR,USDT,0.005294,0.227,690095349,3672014.040965,3672014.040965,,2026-04-10T07:36:31+00:00
binance,APEUSDT,APE,USDT,0.0888,0.909,83449797,7462159.7775,7462159.7775,,2026-04-10T07:36:29+00:00
binance,API3USDT,API3,USDT,0.2798,0.036,5444046.1,1534195.8612,1534195.8612,,2026-04-10T07:36:31+00:00
binance,APRUSDT,APR,USDT,0.1831200,4.676,80943854,14295004.5182500,14295004.5182500,,2026-04-10T07:36:29+00:00
binance,APTUSDT,APT,USDT,0.83780,1.306,35964779.4,30255369.59100,30255369.59100,,2026-04-10T07:36:29+00:00
binance,ARUSDT,AR,USDT,1.725,2.435,2595431.9,4437661.522,4437661.522,,2026-04-10T07:36:17+00:00
binance,ARBUSDC,ARB,USDC,0.109800,7.859,59647754.8,6357836.318520,6357836.318520,,2026-04-10T07:36:25+00:00
binance,ARBUSDT,ARB,USDT,0.109800,7.753,665345250.1,70876217.385560,70876217.385560,,2026-04-10T07:36:32+00:00
binance,ARCUSDT,ARC,USDT,0.0708400,16.437,261749583,18103148.0755800,18103148.0755800,,2026-04-10T07:36:32+00:00
binance,ARIAUSDT,ARIA,USDT,0.3824000,-47.306,3966597609,1019682895.5936400,1019682895.5936400,,2026-04-10T07:36:31+00:00
binance,ARKUSDT,ARK,USDT,0.1686000,-0.648,2300220,389488.2996000,389488.2996000,,2026-04-10T07:36:33+00:00
binance,ARKMUSDT,ARKM,USDT,0.1007000,2.442,50194829,5006516.9438000,5006516.9438000,,2026-04-10T07:36:29+00:00
binance,ARPAUSDT,ARPA,USDT,0.00935,-0.953,195735802,1837889.18284,1837889.18284,,2026-04-10T07:36:18+00:00
binance,ASRUSDT,ASR,USDT,1.255000,0.00,407646.3,514281.017400,514281.017400,,2026-04-10T07:35:28+00:00
binance,ASTERUSDT,ASTER,USDT,0.6628000,0.287,40944544,27244367.6092000,27244367.6092000,,2026-04-10T07:36:30+00:00
binance,ASTRUSDT,ASTR,USDT,0.0076320,2.319,163138210,1235649.6088730,1235649.6088730,,2026-04-10T07:36:33+00:00
binance,ATUSDT,AT,USDT,0.1417000,-5.810,49838747,6994222.0686100,6994222.0686100,,2026-04-10T07:36:00+00:00
binance,ATAUSDT,ATA,USDT,0.0089700,-2.074,151593224,1359770.9313800,1359770.9313800,,2026-04-10T07:36:28+00:00
binance,ATHUSDT,ATH,USDT,0.0061520,2.278,1481106578,8896949.2434370,8896949.2434370,,2026-04-10T07:36:27+00:00
binance,ATOMUSDT,ATOM,USDT,1.823,1.957,9979090.32,18007950.885,18007950.885,,2026-04-10T07:36:25+00:00
binance,AUCTIONUSDT,AUCTION,USDT,4.730000,0.874,311833.67,1470782.018990,1470782.018990,,2026-04-10T07:36:27+00:00
binance,AVAUSDT,AVA,USDT,0.2025000,0.596,4770167.3,976472.2036200,976472.2036200,,2026-04-10T07:36:33+00:00
binance,AVAAIUSDT,AVAAI,USDT,0.0076100,2.271,262758967,1995461.3198360,1995461.3198360,,2026-04-10T07:36:24+00:00
binance,AVAXUSDC,AVAX,USDC,9.290000,2.335,1415131.10,13140994.903510,13140994.903510,,2026-04-10T07:36:17+00:00
binance,AVAXUSDT,AVAX,USDT,9.2890,2.324,18657048,173643951.3560,173643951.3560,,2026-04-10T07:36:32+00:00
binance,AVNTUSDT,AVNT,USDT,0.1402000,2.786,38828061,5300080.2175000,5300080.2175000,,2026-04-10T07:36:17+00:00
binance,AWEUSDT,AWE,USDT,0.0518800,1.785,52028641,2694086.7303500,2694086.7303500,,2026-04-10T07:36:26+00:00
binance,AXLUSDT,AXL,USDT,0.0459200,0.328,61897332.2,2867980.2492980,2867980.2492980,,2026-04-10T07:36:26+00:00
binance,AXSUSDT,AXS,USDT,1.11500,0.270,11715796,13161192.70500,13161192.70500,,2026-04-10T07:36:32+00:00
binance,AZTECUSDT,AZTEC,USDT,0.0206000,4.146,127820500,2589580.1487000,2589580.1487000,,2026-04-10T07:36:27+00:00
binance,BUSDT,B,USDT,0.1750000,2.399,7499359,1298314.7231000,1298314.7231000,,2026-04-10T07:36:32+00:00
binance,B2USDT,B2,USDT,0.6208000,-3.423,2250712,1436387.8787000,1436387.8787000,,2026-04-10T07:36:20+00:00
binance,B3USDT,B3,USDT,0.0003169,0.699,3843182844,1208866.0574273,1208866.0574273,,2026-04-10T07:36:27+00:00
binance,BABYUSDT,BABY,USDT,0.0137900,2.073,318822778,4380139.3811200,4380139.3811200,,2026-04-10T07:36:17+00:00
binance,BANUSDT,BAN,USDT,0.0582800,4.782,26777093,1502126.3556300,1502126.3556300,,2026-04-10T07:36:32+00:00
binance,BANANAUSDT,BANANA,USDT,3.4030000,0.740,360131.4,1225202.2208000,1225202.2208000,,2026-04-10T07:36:28+00:00
binance,BANANAS31USDT,BANANAS31,USDT,0.0094270,-0.674,765363398,7386715.8397890,7386715.8397890,,2026-04-10T07:36:32+00:00
binance,BANDUSDT,BAND,USDT,0.2094,-0.475,4963485.4,1047323.3835,1047323.3835,,2026-04-10T07:36:30+00:00
binance,BANKUSDT,BANK,USDT,0.0323400,-2.385,190482689,6358616.5365100,6358616.5365100,,2026-04-10T07:36:32+00:00
binance,BARDUSDT,BARD,USDT,0.3188000,-1.270,88470118,29057144.1721000,29057144.1721000,,2026-04-10T07:36:32+00:00
binance,BASUSDT,BAS,USDT,0.0082360,43.285,6273377157,49643559.2117850,49643559.2117850,,2026-04-10T07:36:33+00:00
binance,BASEDUSDT,BASED,USDT,0.0544000,-7.325,795337582,44356389.4201000,44356389.4201000,,2026-04-10T07:36:32+00:00
binance,BATUSDT,BAT,USDT,0.0998,1.526,27459731.5,2731403.8128,2731403.8128,,2026-04-10T07:36:26+00:00
binance,BBUSDT,BB,USDT,0.0240300,0.755,62116452,1494388.0065900,1494388.0065900,,2026-04-10T07:36:28+00:00
binance,BCHUSDC,BCH,USDC,438.69,-1.289,16225.008,7153576.88,7153576.88,,2026-04-10T07:36:26+00:00
binance,BCHUSDT,BCH,USDT,438.63,-1.296,169063.005,74504115.15,74504115.15,,2026-04-10T07:36:30+00:00
binance,BEAMXUSDT,BEAMX,USDT,0.0018300,-0.489,396199045,723772.7226210,723772.7226210,,2026-04-10T07:36:02+00:00
binance,BEATUSDT,BEAT,USDT,0.2863000,-3.473,102682047,28985358.8340000,28985358.8340000,,2026-04-10T07:36:32+00:00
binance,BELUSDT,BEL,USDT,0.10050,-1.180,16682636,1675980.47650,1675980.47650,,2026-04-10T07:36:32+00:00
binance,BERAUSDT,BERA,USDT,0.414000,-0.767,29875304.3,12455817.614110,12455817.614110,,2026-04-10T07:36:25+00:00
binance,BICOUSDT,BICO,USDT,0.0224700,-2.219,51420340,1202705.9026200,1202705.9026200,,2026-04-10T07:36:00+00:00
binance,BIGTIMEUSDT,BIGTIME,USDT,0.0124900,-0.636,165318576,2108109.8549200,2108109.8549200,,2026-04-10T07:36:22+00:00
binance,BIOUSDC,BIO,USDC,0.0183400,0.603,30728910,564929.8023700,564929.8023700,,2026-04-10T07:36:26+00:00
binance,BIOUSDT,BIO,USDT,0.0183500,0.548,282458949,5187776.0281500,5187776.0281500,,2026-04-10T07:36:27+00:00
binance,BIRBUSDT,BIRB,USDT,0.1372900,3.842,12258775,1659073.3492400,1659073.3492400,,2026-04-10T07:36:30+00:00
binance,BLESSUSDT,BLESS,USDT,0.0061660,7.910,681725967,4170656.7860360,4170656.7860360,,2026-04-10T07:36:29+00:00
binance,BLUAIUSDT,BLUAI,USDT,0.0084830,-2.852,1468384469,12090511.6648690,12090511.6648690,,2026-04-10T07:36:31+00:00
binance,BLURUSDT,BLUR,USDT,0.0225400,-2.593,4554000681,105338182.8138200,105338182.8138200,,2026-04-10T07:36:29+00:00
binance,BMTUSDT,BMT,USDT,0.0141700,-2.343,59019508,839946.1904200,839946.1904200,,2026-04-10T07:36:32+00:00
binance,BNBUSDC,BNB,USDC,601.410,0.025,57388.20,34704395.041,34704395.041,,2026-04-10T07:36:32+00:00
binance,BNBUSDT,BNB,USDT,601.160,0.00,440849.02,266408901.811,266408901.811,,2026-04-10T07:36:32+00:00
binance,BNTUSDT,BNT,USDT,0.2921000,-1.084,1609760,473232.8582000,473232.8582000,,2026-04-10T07:36:21+00:00
binance,BOBUSDT,BOB,USDT,0.0072640,6.075,951793805,7310916.4203730,7310916.4203730,,2026-04-10T07:36:24+00:00
binance,BOMEUSDC,BOME,USDC,0.0003942,1.808,2243192383,888054.9301156,888054.9301156,,2026-04-10T07:36:22+00:00
binance,BOMEUSDT,BOME,USDT,0.0003943,1.729,13616549538,5389950.5727862,5389950.5727862,,2026-04-10T07:36:29+00:00
binance,BRUSDT,BR,USDT,0.1077800,-9.588,71291740,7983588.7551600,7983588.7551600,,2026-04-10T07:36:31+00:00
binance,BRETTUSDT,BRETT,USDT,0.0067200,1.465,276844052,1850596.3887700,1850596.3887700,,2026-04-10T07:36:25+00:00
binance,BREVUSDT,BREV,USDT,0.1246000,6.314,25333510,3033494.0475000,3033494.0475000,,2026-04-10T07:36:29+00:00
binance,BROCCOLI714USDT,BROCCOLI714,USDT,0.0124600,0.322,109393906,1377132.0220400,1377132.0220400,,2026-04-10T07:36:30+00:00
binance,BROCCOLIF3BUSDT,BROCCOLIF3B,USDT,0.0038980,1.775,175277278,672615.3822870,672615.3822870,,2026-04-10T07:36:25+00:00
binance,BSBUSDT,BSB,USDT,0.1898700,8.677,50207252,8931924.6668300,8931924.6668300,,2026-04-10T07:36:32+00:00
binance,BSVUSDT,BSV,USDT,16.20000,0.621,119752.3,1909793.81000,1909793.81000,,2026-04-10T07:36:26+00:00
binance,BTCUSDC,BTC,USDC,71716.4,0.988,45923.692,3297577826.5,3297577826.5,,2026-04-10T07:36:30+00:00
binance,BTCUSDT,BTC,USDT,71703.00,0.990,177269.638,12731052811.08,12731052811.08,,2026-04-10T07:36:31+00:00
binance,BTCDOMUSDT,BTCDOM,USDT,5254.5,0.694,779.326,4084626.5,4084626.5,,2026-04-10T07:36:32+00:00
binance,BTRUSDT,BTR,USDT,0.0270800,-2.414,69217385,1882938.0182200,1882938.0182200,,2026-04-10T07:36:30+00:00
binance,BULLAUSDT,BULLA,USDT,0.0164690,-27.730,9111378222,162548769.5039370,162548769.5039370,,2026-04-10T07:36:31+00:00
binance,CUSDT,C,USDT,0.0703600,-1.138,86628451,6101817.5843000,6101817.5843000,,2026-04-10T07:36:22+00:00
binance,C98USDT,C98,USDT,0.0220,-2.655,59817051,1337726.8939,1337726.8939,,2026-04-10T07:36:28+00:00
binance,CAKEUSDT,CAKE,USDT,1.4930000,0.994,3497534,5206111.8189000,5206111.8189000,,2026-04-10T07:36:18+00:00
binance,CARVUSDT,CARV,USDT,0.0550100,-4.080,50782880,2770428.9455800,2770428.9455800,,2026-04-10T07:36:30+00:00
binance,CATIUSDT,CATI,USDT,0.0477300,1.402,22678367,1058000.2940900,1058000.2940900,,2026-04-10T07:36:22+00:00
binance,CCUSDT,CC,USDT,0.1538900,4.915,57393261,8654601.4297100,8654601.4297100,,2026-04-10T07:36:30+00:00
binance,CELOUSDT,CELO,USDT,0.081610,0.517,22553524.1,1831437.791108,1831437.791108,,2026-04-10T07:36:25+00:00
binance,CELRUSDT,CELR,USDT,0.00239,-1.646,383869185,920867.35358,920867.35358,,2026-04-10T07:36:20+00:00
binance,CETUSUSDT,CETUS,USDT,0.0200700,4.314,73125882,1434925.5516900,1434925.5516900,,2026-04-10T07:36:20+00:00
binance,CFGUSDT,CFG,USDT,0.2318000,27.643,275417392,61479265.5475000,61479265.5475000,,2026-04-10T07:36:32+00:00
binance,CFXUSDT,CFX,USDT,0.0547700,9.562,223779417,11846894.8212000,11846894.8212000,,2026-04-10T07:36:32+00:00
binance,CGPTUSDT,CGPT,USDT,0.0201400,-2.752,49294925,1018173.2141300,1018173.2141300,,2026-04-10T07:36:32+00:00
binance,CHILLGUYUSDT,CHILLGUY,USDT,0.0119540,33.177,2283740673,25812367.9195010,25812367.9195010,,2026-04-10T07:36:33+00:00
binance,CHRUSDT,CHR,USDT,0.0176,1.734,117626512,2093354.2984,2093354.2984,,2026-04-10T07:36:30+00:00
binance,CHZUSDT,CHZ,USDT,0.03928,1.551,316259425,12354447.56780,12354447.56780,,2026-04-10T07:36:29+00:00
binance,CKBUSDT,CKB,USDT,0.0014470,0.069,609377159,885671.0213680,885671.0213680,,2026-04-10T07:36:02+00:00
binance,CLANKERUSDT,CLANKER,USDT,26.52000,1.922,40993.73,1069449.20790,1069449.20790,,2026-04-10T07:36:33+00:00
binance,CLOUSDT,CLO,USDT,0.0776300,-12.223,77697742,6420612.3691600,6420612.3691600,,2026-04-10T07:36:20+00:00
binance,COAIUSDT,COAI,USDT,0.2815000,0.036,7413579,2092455.6917000,2092455.6917000,,2026-04-10T07:36:33+00:00
binance,COLLECTUSDT,COLLECT,USDT,0.0376600,6.025,59020209,2165301.4823700,2165301.4823700,,2026-04-10T07:36:21+00:00
binance,COMPUSDT,COMP,USDT,19.50,6.209,603659.798,11400196.16,11400196.16,,2026-04-10T07:36:27+00:00
binance,COOKIEUSDT,COOKIE,USDT,0.0166100,0.00,97673400,1647714.4060500,1647714.4060500,,2026-04-10T07:36:29+00:00
binance,COSUSDT,COS,USDT,0.0012390,-1.823,1973917660,2493311.1230070,2493311.1230070,,2026-04-10T07:36:27+00:00
binance,COTIUSDT,COTI,USDT,0.01403,3.086,78329599,1073856.17378,1073856.17378,,2026-04-10T07:36:21+00:00
binance,COWUSDT,COW,USDT,0.2160000,1.124,3752875,805734.8332000,805734.8332000,,2026-04-10T07:36:29+00:00
binance,CROSSUSDT,CROSS,USDT,0.0606200,-1.335,10616753,654375.1285000,654375.1285000,,2026-04-10T07:36:26+00:00
binance,CRVUSDC,CRV,USDC,0.2198000,0.826,31749055.1,7000169.3827400,7000169.3827400,,2026-04-10T07:36:18+00:00
binance,CRVUSDT,CRV,USDT,0.220,0.917,228530498.2,50330872.521,50330872.521,,2026-04-10T07:36:27+00:00
binance,CTKUSDT,CTK,USDT,0.1709000,1.304,3977497,687526.4710000,687526.4710000,,2026-04-10T07:36:20+00:00
binance,CTSIUSDT,CTSI,USDT,0.0309,-1.592,228850044,7074944.0937,7074944.0937,,2026-04-10T07:36:29+00:00
binance,CVCUSDT,CVC,USDT,0.0298100,0.540,10568391,316157.6835200,316157.6835200,,2026-04-10T07:36:28+00:00
binance,CVXUSDT,CVX,USDT,1.765000,0.341,680996.8,1202914.885200,1202914.885200,,2026-04-10T07:36:19+00:00
binance,CYBERUSDT,CYBER,USDT,0.501600,-0.338,2894762.5,1459700.350610,1459700.350610,,2026-04-10T07:36:27+00:00
binance,CYSUSDT,CYS,USDT,0.2003000,-5.161,96641396,18937488.8208000,18937488.8208000,,2026-04-10T07:36:31+00:00
binance,DUSDT,D,USDT,0.0106380,-2.098,1203810028,13439322.4208950,13439322.4208950,,2026-04-10T07:36:28+00:00
binance,DAMUSDT,DAM,USDT,0.0588000,4.145,22483554,1277396.3765600,1277396.3765600,,2026-04-10T07:36:06+00:00
binance,DASHUSDT,DASH,USDT,39.46,21.565,2831793.026,103632652.11,103632652.11,,2026-04-10T07:36:31+00:00
binance,DEEPUSDT,DEEP,USDT,0.0280800,-0.777,54845655,1576210.6963100,1576210.6963100,,2026-04-10T07:36:28+00:00
binance,DEGENUSDT,DEGEN,USDT,0.0007467,1.564,944757968,708927.7793676,708927.7793676,,2026-04-10T07:36:29+00:00
binance,DEGOUSDT,DEGO,USDT,0.3026000,-0.329,29927397.4,9067269.1410200,9067269.1410200,,2026-04-10T07:36:32+00:00
binance,DENTUSDT,DENT,USDT,0.000162,0.00,20002096741,3336211.653936,3336211.653936,,2026-04-10T07:36:30+00:00
binance,DEXEUSDT,DEXE,USDT,8.915000,9.804,1654459.53,14036612.229190,14036612.229190,,2026-04-10T07:36:31+00:00
binance,DIAUSDT,DIA,USDT,0.1786000,-2.191,3283755,595933.1006000,595933.1006000,,2026-04-10T07:36:27+00:00
binance,DODOXUSDT,DODOX,USDT,0.0152680,-1.497,22133243,342345.7687730,342345.7687730,,2026-04-10T07:36:26+00:00
binance,DOGEUSDC,DOGE,USDC,0.092390,1.039,326217311,30214573.514840,30214573.514840,,2026-04-10T07:36:23+00:00
binance,DOGEUSDT,DOGE,USDT,0.092390,1.028,5110564584,473333957.447880,473333957.447880,,2026-04-10T07:36:30+00:00
binance,DOGSUSDT,DOGS,USDT,0.0000276,0.730,60152001946,1675854.3716857,1675854.3716857,,2026-04-10T07:36:29+00:00
binance,DOLOUSDT,DOLO,USDT,0.0350900,3.725,33387425,1148798.0960200,1148798.0960200,,2026-04-10T07:35:52+00:00
binance,DOODUSDT,DOOD,USDT,0.0030540,2.655,384739155,1173211.2839180,1173211.2839180,,2026-04-10T07:36:01+00:00
binance,DOTUSDT,DOT,USDT,1.291,2.623,83367536.0,107257804.267,107257804.267,,2026-04-10T07:36:33+00:00
binance,DRIFTUSDT,DRIFT,USDT,0.0288700,-1.736,665252335,18766692.3434800,18766692.3434800,,2026-04-10T07:36:33+00:00
binance,DUSKUSDT,DUSK,USDT,0.12417,8.749,80971126,9690071.85209,9690071.85209,,2026-04-10T07:36:31+00:00
binance,DYDXUSDT,DYDX,USDT,0.095,-5,64933753.5,6350125.554,6350125.554,,2026-04-10T07:36:32+00:00
binance,DYMUSDT,DYM,USDT,0.020330,-6.615,1117408892.2,24000090.441122,24000090.441122,,2026-04-10T07:36:29+00:00
binance,EDENUSDT,EDEN,USDT,0.0310800,1.073,38091663,1182448.0302800,1182448.0302800,,2026-04-10T07:36:28+00:00
binance,EDGEUSDT,EDGE,USDT,1.0156000,3.622,68151896,65863464.2591000,65863464.2591000,,2026-04-10T07:36:33+00:00
binance,EDUUSDT,EDU,USDT,0.0453900,2.437,220503158,10073401.0873700,10073401.0873700,,2026-04-10T07:36:32+00:00
binance,EGLDUSDT,EGLD,USDT,3.838,0.841,679934.8,2617794.805,2617794.805,,2026-04-10T07:35:51+00:00
binance,EIGENUSDT,EIGEN,USDT,0.1637000,3.086,46977764.2,7660832.4137400,7660832.4137400,,2026-04-10T07:36:27+00:00
binance,ELSAUSDT,ELSA,USDT,0.0708100,5.940,30135907,2099967.3879100,2099967.3879100,,2026-04-10T07:36:20+00:00
binance,ENAUSDC,ENA,USDC,0.0967000,11.663,121139023,11184043.9418000,11184043.9418000,,2026-04-10T07:36:29+00:00
binance,ENAUSDT,ENA,USDT,0.0967000,11.534,1514604750,139254652.2377000,139254652.2377000,,2026-04-10T07:36:31+00:00
binance,ENJUSDT,ENJ,USDT,0.02921,-4.853,10363866636,316785677.89201,316785677.89201,,2026-04-10T07:36:32+00:00
binance,ENSUSDT,ENS,USDT,5.786,0.696,754282.9,4355313.518,4355313.518,,2026-04-10T07:36:27+00:00
binance,ENSOUSDT,ENSO,USDT,0.912800,-3.733,7417741.0,6924012.418840,6924012.418840,,2026-04-10T07:36:31+00:00
binance,EPICUSDT,EPIC,USDT,0.254100,0.316,8794196.1,2254080.191350,2254080.191350,,2026-04-10T07:36:32+00:00
binance,ERAUSDT,ERA,USDT,0.1258000,-0.553,6323545,798684.5520000,798684.5520000,,2026-04-10T07:36:28+00:00
binance,ESPUSDT,ESP,USDT,0.0798600,0.948,109691207,8627685.5224000,8627685.5224000,,2026-04-10T07:36:32+00:00
binance,ESPORTSUSDT,ESPORTS,USDT,0.4404000,-1.218,2372731,1039810.7883600,1039810.7883600,,2026-04-10T07:36:21+00:00
binance,ETCUSDT,ETC,USDT,8.487,0.772,2568370.48,21640532.284,21640532.284,,2026-04-10T07:36:23+00:00
binance,ETHBTC,ETH,BTC,0.030476,-0.868,17920.12,548.371487,,,2026-04-10T07:34:01+00:00
binance,ETHUSDC,ETH,USDC,2186.27,0.178,1475991.473,3244421767.14,3244421767.14,,2026-04-10T07:36:32+00:00
binance,ETHUSDT,ETH,USDT,2185.99,0.184,4401304.962,9670240396.89,9670240396.89,,2026-04-10T07:36:32+00:00
binance,ETHFIUSDC,ETHFI,USDC,0.4401000,0.457,1822642.6,805457.8878400,805457.8878400,,2026-04-10T07:36:27+00:00
binance,ETHFIUSDT,ETHFI,USDT,0.4406000,0.433,26954736.8,11903286.5214900,11903286.5214900,,2026-04-10T07:36:32+00:00
binance,ETHWUSDT,ETHW,USDT,0.260800,-1.881,1437788,381202.250100,381202.250100,,2026-04-10T07:36:21+00:00
binance,EULUSDT,EUL,USDT,0.992500,5.339,3701225.8,3595809.115330,3595809.115330,,2026-04-10T07:36:07+00:00
