token,coingecko_id,current_price_usd,price_change_24h_pct,volume_24h_usd,market_cap_usd,market_data_as_of,match_status
AI16Z,ai16z,0.00054039,2.744372239359,10525.430133874157,594356.067844732082,2026-04-14T07:38:08+00:00,matched_exact_symbol_unique
AIA,aia,0.113354,-7.619325313976,26550117.434241760522,11361884.568217076361,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
AIN,,,,,,,unmatched_ambiguous_symbol_candidates
AIO,,,,,,,unmatched_ambiguous_symbol_candidates
AIOT,okzoo,0.058038,8.044531172587,8222850.561951057054,15129913.652000982314,2026-04-14T07:38:17+00:00,matched_exact_symbol_unique
AIOZ,aioz-network,0.056771,5.262094758456,3400985.158527757507,70658665.412002280354,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
AIXBT,aixbt,0.02446883,5.486409494009,11315054.211359383538,24356645.406723819673,2026-04-14T07:38:04+00:00,matched_exact_symbol_unique
AKE,akedo,0.00080167,37.057178934209,6794686.904285262339,18252282.43955520913,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
AKT,,,,,,,unmatched_ambiguous_symbol_candidates
ALCH,alchemist-ai,0.065069,2.777158871421,10132157.622303107753,55399749.907165378332,2026-04-14T07:38:23+00:00,matched_exact_symbol_unique
ALGO,,,,,,,unmatched_ambiguous_symbol_candidates
ALICE,,,,,,,unmatched_ambiguous_symbol_candidates
ALL,,,,,,,unmatched_ambiguous_symbol_candidates
ALLO,allora,0.112462,2.922102057026,12222594.662759421393,25304785.656603422016,2026-04-14T07:38:18+00:00,matched_exact_symbol_unique
ALPINE,alpine-f1-team-fan-token,0.415095,2.098083263442,3328853.255052276887,4715480.662834221497,2026-04-14T07:38:00+00:00,matched_exact_symbol_unique
ALT,,,,,,,unmatched_ambiguous_symbol_candidates
AMD,,,,,,,unmatched_no_symbol_candidate
AMZN,,,,,,,unmatched_no_symbol_candidate
ANIME,,,,,,,unmatched_ambiguous_symbol_candidates
ANKR,ankr,0.00518257,1.36808560733,25263570.810440905392,51921107.836492739618,2026-04-14T07:38:04+00:00,matched_exact_symbol_unique
APE,,,,,,,unmatched_ambiguous_symbol_candidates
APEX,,,,,,,unmatched_ambiguous_symbol_candidates
API3,api3,0.283773,2.964869000798,3973635.88220311515,40540012.384142711759,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
APP,moon-app,0.00004875,,9.636203742295,96818.26503599131,2026-04-10T21:47:03+00:00,matched_exact_symbol_unique
APR,apriori,0.219075,25.733304950683,8701879.15744170174,47303547.960641361773,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
APT,aptos,0.865579,5.671664863893,87694777.17916098237,697821126.264696478844,2026-04-14T07:38:08+00:00,matched_exact_symbol_unique
AR,arweave,1.76,5.553243316439,21601916.846957877278,115454532.620789691806,2026-04-14T07:38:04+00:00,matched_exact_symbol_unique
ARB,,,,,,,unmatched_ambiguous_symbol_candidates
ARC,,,,,,,unmatched_ambiguous_symbol_candidates
ARIA,,,,,,,unmatched_ambiguous_symbol_candidates
ARK,,,,,,,unmatched_ambiguous_symbol_candidates
ARKM,arkham,0.101165,5.200195551263,14539990.333893952891,61198224.83638291806,2026-04-14T07:38:23+00:00,matched_exact_symbol_unique
ARM,,,,,,,unmatched_no_symbol_candidate
ARPA,arpa,0.00930103,0.409543656833,3952178.095338398125,9134429.907070780173,2026-04-14T07:38:27+00:00,matched_exact_symbol_unique
ASML,,,,,,,unmatched_no_symbol_candidate
ASP,aspecta,0.02846432,10.87807500853,564159.74372163706,8727406.061395663768,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
ASR,as-roma-fan-token,1.25,1.160197499659,2885746.438630345277,10558543.332998400554,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
ASTER,,,,,,,unmatched_ambiguous_symbol_candidates
ASTR,,,,,,,unmatched_ambiguous_symbol_candidates
AT,apro,0.170377,17.444041001352,8616112.428257487714,39080896.470647603273,2026-04-14T07:38:23+00:00,matched_exact_symbol_unique
ATA,,,,,,,unmatched_ambiguous_symbol_candidates
ATH,,,,,,,unmatched_ambiguous_symbol_candidates
ATOM,,,,,,,unmatched_ambiguous_symbol_candidates
AUCTION,,,,,,,unmatched_ambiguous_symbol_candidates
AVA,,,,,,,unmatched_ambiguous_symbol_candidates
AVAAI,,,,,,,unmatched_no_symbol_candidate
AVAX,,,,,,,unmatched_ambiguous_symbol_candidates
AVGO,,,,,,,unmatched_no_symbol_candidate
AVNT,avantis,0.133476,3.249620441828,16502860.993363518268,42624423.492732465267,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
AWE,stp-network,0.052007,2.446169486884,3268119.263748796657,100995926.857140108943,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
AXL,axelar,0.04605674,1.563976151178,19970763.081532761455,53029481.319133803248,2026-04-14T07:38:03+00:00,matched_exact_symbol_unique
AXS,axie-infinity,1.12,4.586484869326,28760909.00807364285,189930618.872460782528,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
AZTEC,aztec,0.02105705,1.540427041862,12252597.423640480265,62288469.886407792568,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
B,,,,,,,unmatched_ambiguous_symbol_candidates
B2,bsquared-network,0.695076,9.968505431057,9109859.34744355455,29038347.687690798193,2026-04-14T07:38:17+00:00,matched_exact_symbol_unique
B3,b3,0.00031207,-0.655870776916,1473242.764806953724,28420425.059253599495,2026-04-14T07:38:04+00:00,matched_exact_symbol_unique
BA,,,,,,,unmatched_no_symbol_candidate
BABA,baba,0.00001871,1.248158909977,75.313930121769,18705.51227660678,2026-04-14T07:32:05+00:00,matched_exact_symbol_unique
BABY,,,,,,,unmatched_ambiguous_symbol_candidates
BADGER,,,,,,,unmatched_ambiguous_symbol_candidates
BAN,,,,,,,unmatched_ambiguous_symbol_candidates
BANANA,,,,,,,unmatched_ambiguous_symbol_candidates
BANANAS31,banana-for-scale-2,0.01088601,8.312915647169,24271569.373902041465,109029933.046581700444,2026-04-14T07:38:17+00:00,matched_exact_symbol_unique
BAND,band-protocol,0.206517,1.399897231403,4350684.333324172534,35970855.275111436844,2026-04-14T07:38:19+00:00,matched_exact_symbol_unique
BANK,,,,,,,unmatched_ambiguous_symbol_candidates
BARD,lombard-protocol,0.336523,1.538890183391,85817810.543065309525,101597573.218533739448,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
BAS,bas,0.00662275,0.150428004185,5045131.676752585918,16668502.261804789305,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
BASED,based-one,0.064057,-2.830355306703,208595514.038046687841,15035863.494797671214,2026-04-14T07:38:06+00:00,matched_override_map
BAT,,,,,,,unmatched_ambiguous_symbol_candidates
BB,,,,,,,unmatched_ambiguous_symbol_candidates
BCH,,,,,,,unmatched_ambiguous_symbol_candidates
BEAM,,,,,,,unmatched_ambiguous_symbol_candidates
BEAMX,,,,,,,unmatched_no_symbol_candidate
BEAT,,,,,,,unmatched_ambiguous_symbol_candidates
BEL,,,,,,,unmatched_ambiguous_symbol_candidates
BERA,berachain-bera,0.411258,2.129525122313,15609947.059935171157,100744063.782507643104,2026-04-14T07:38:02+00:00,matched_exact_symbol_unique
BGB,bitget-token,1.91,1.53219717719,24097919.787309926003,1338686616.91807103157,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
BICO,biconomy,0.02113654,-1.072389710931,3012871.133203778882,15357403.027121886611,2026-04-14T07:38:02+00:00,matched_exact_symbol_unique
BIGTIME,big-time,0.0126556,3.572027882213,5624302.468566962518,24148517.646714396775,2026-04-14T07:38:08+00:00,matched_exact_symbol_unique
BIO,,,,,,,unmatched_ambiguous_symbol_candidates
BIRB,,,,,,,unmatched_ambiguous_symbol_candidates
BLAST,,,,,,,unmatched_ambiguous_symbol_candidates
BLESS,bless-2,0.01838978,94.979699183795,105921559.842367514968,33929991.363436356187,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
BLUAI,bluwhale,0.00900203,3.258670252291,4914670.503337542526,11060725.412332898006,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
BLUR,blur,0.02110707,-1.236318338949,19382449.778433006257,58575767.975067488849,2026-04-14T07:38:21+00:00,matched_exact_symbol_unique
BLZ,bluzelle,0.00943427,-1.546042134014,228908.655899719801,4424124.133072860539,2026-04-14T07:38:08+00:00,matched_exact_symbol_unique
BMT,,,,,,,unmatched_ambiguous_symbol_candidates
BNB,,,,,,,unmatched_ambiguous_symbol_candidates
BNT,bancor,0.308174,5.036762028411,599385.368486999068,33569459.63755376637,2026-04-14T07:38:17+00:00,matched_exact_symbol_unique
BOB,,,,,,,unmatched_ambiguous_symbol_candidates
BOBA,,,,,,,unmatched_ambiguous_symbol_candidates
BOBBOB,,,,,,,unmatched_no_symbol_candidate
BOME,book-of-meme,0.00042009,11.705693174817,17834140.219902154058,28971401.463654730469,2026-04-14T07:38:27+00:00,matched_exact_symbol_unique
BONK,,,,,,,unmatched_ambiguous_symbol_candidates
BR,bedrock-token,0.124359,0.924850151045,2784807.075056908652,31192151.327773083001,2026-04-14T07:38:19+00:00,matched_exact_symbol_unique
BRETT,,,,,,,unmatched_ambiguous_symbol_candidates
BREV,brevis,0.12193,4.668269376947,12292549.758941004053,30478329.409815423191,2026-04-14T07:38:25+00:00,matched_exact_symbol_unique
BROCCOLI,,,,,,,unmatched_ambiguous_symbol_candidates
BROCCOLI714,,,,,,,unmatched_no_symbol_candidate
BROCCOLIF3B,,,,,,,unmatched_no_symbol_candidate
BSB,block-street,0.247757,17.015964311996,25173582.214157890528,53048090.828922741115,2026-04-14T07:38:28+00:00,matched_override_map
BSU,baby-shark-universe,0.04582432,2.979264503868,408414.386577374535,7697658.850598860532,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
BSV,bitcoin-cash-sv,15.62,3.045088320252,10576372.095199050382,312974161.66537976265,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
BTC,bitcoin,74555,5.344097287238,56742450811.588790893555,1493149377888.20068359375,2026-04-14T07:38:28+00:00,matched_override_map
BTCDOM,,,,,,,unmatched_no_symbol_candidate
BTR,,,,,,,unmatched_ambiguous_symbol_candidates
BULLA,,,,,,,unmatched_ambiguous_symbol_candidates
BZ,,,,,,,unmatched_no_symbol_candidate
C,,,,,,,unmatched_ambiguous_symbol_candidates
C98,coin98,0.01956967,0.837696857127,4013360.457002045587,19572752.76482250914,2026-04-14T07:38:08+00:00,matched_exact_symbol_unique
CAKE,pancakeswap-token,1.57,4.907968925419,67025915.877266265452,514608922.115675449371,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
CAMP,camp-network,0.00212296,-1.754541363662,3789962.078152294271,4432558.04330461286,2026-04-14T07:37:52+00:00,matched_exact_symbol_unique
CANTO,canto,0.00142696,0.385161047352,17.144938835103,868928.209415778285,2026-04-14T07:38:17+00:00,matched_exact_symbol_unique
CARV,carv,0.05358,3.314278884333,4139758.649170491844,28752590.629890661687,2026-04-14T07:38:03+00:00,matched_exact_symbol_unique
CATI,catizen,0.04690466,-3.458472606547,5957322.644659744576,19341596.288471132517,2026-04-14T07:38:09+00:00,matched_exact_symbol_unique
CC,,,,,,,unmatched_ambiguous_symbol_candidates
CELO,celo,0.080417,2.925162296375,3357263.347015718464,48185023.37197586894,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
CELR,celer-network,0.002377,0.443033786839,1508780.357435113518,13421375.919948546216,2026-04-14T07:38:07+00:00,matched_exact_symbol_unique
CETUS,cetus-protocol,0.01979487,2.956485328481,2065225.705641424283,18515628.229078870267,2026-04-14T07:38:09+00:00,matched_exact_symbol_unique
CFG,,,,,,,unmatched_ambiguous_symbol_candidates
CFX,,,,,,,unmatched_ambiguous_symbol_candidates
CGPT,chaingpt,0.01984687,3.145414115957,3321756.783580233809,17362116.573950685561,2026-04-14T07:38:23+00:00,matched_exact_symbol_unique
CHILLGUY,,,,,,,unmatched_ambiguous_symbol_candidates
CHR,,,,,,,unmatched_ambiguous_symbol_candidates
CHZ,chiliz,0.03664992,1.41073637883,59066759.403016418219,377525473.63078725338,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
CKB,nervos-network,0.00148469,-0.16030421343,4908499.751042410731,72119161.681128308177,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
CL,,,,,,,unmatched_no_symbol_candidate
CLANKER,,,,,,,unmatched_ambiguous_symbol_candidates
CLO,,,,,,,unmatched_ambiguous_symbol_candidates
CLOUD,,,,,,,unmatched_ambiguous_symbol_candidates
COAI,chainopera-ai,0.474775,60.10476458448,58653932.037450172007,88377981.793847292662,2026-04-14T07:38:20+00:00,matched_exact_symbol_unique
COIN,,,,,,,unmatched_ambiguous_symbol_candidates
COLLECT,,,,,,,unmatched_ambiguous_symbol_candidates
COMP,compound-governance-token,21.07,3.611974897319,22564255.684491854161,203843618.476804584265,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
COOKIE,,,,,,,unmatched_ambiguous_symbol_candidates
COP,copiosa,0.00028769,4.7614432766,34632.605308782382,0,2026-04-14T07:38:27+00:00,matched_exact_symbol_unique
COPPER,,,,,,,unmatched_ambiguous_symbol_candidates
CORE,,,,,,,unmatched_ambiguous_symbol_candidates
COS,,,,,,,unmatched_ambiguous_symbol_candidates
COST,costco-hot-dog,0.00023724,5.449167342602,364.926302168086,225237.706627553736,2026-04-14T07:38:21+00:00,matched_exact_symbol_unique
COTI,coti,0.01363772,2.098928486878,3305860.266956362873,37706163.625136949122,2026-04-14T07:38:07+00:00,matched_exact_symbol_unique
COW,,,,,,,unmatched_ambiguous_symbol_candidates
CRCL,just-a-circle,0.00002737,18.779070249268,865.828251979602,27360.738918885731,2026-04-14T07:38:09+00:00,matched_exact_symbol_unique
CRO,,,,,,,unmatched_ambiguous_symbol_candidates
CROSS,cross-2,0.072652,6.301813720554,4922945.077179510146,24374946.12079025805,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
CRV,,,,,,,unmatched_ambiguous_symbol_candidates
CRWV,,,,,,,unmatched_no_symbol_candidate
CSCO,,,,,,,unmatched_no_symbol_candidate
CTC,creditcoin-2,0.146696,3.056731309835,4057324.615821226034,78578176.047365486622,2026-04-14T07:38:01+00:00,matched_exact_symbol_unique
CTK,certik,0.172556,0.036344014525,729688.556140761357,27207852.267547111958,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
CTSI,cartesi,0.03052763,-1.508466402701,13375776.880853194743,27780266.753536149859,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
CVC,civic,0.03041567,3.195321174696,2310782.011605172418,24370872.918161127716,2026-04-14T07:38:18+00:00,matched_exact_symbol_unique
CVX,convex-finance,1.82,6.157297044967,5424704.788775628433,163805122.012977033854,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
CYBER,,,,,,,unmatched_ambiguous_symbol_candidates
CYS,cysic,0.302388,15.896224724783,18704928.78523158282,48623960.692184001207,2026-04-14T07:38:11+00:00,matched_exact_symbol_unique
D,,,,,,,unmatched_ambiguous_symbol_candidates
DAM,,,,,,,unmatched_ambiguous_symbol_candidates
DASH,,,,,,,unmatched_ambiguous_symbol_candidates
DBR,,,,,,,unmatched_ambiguous_symbol_candidates
DEEP,,,,,,,unmatched_ambiguous_symbol_candidates
DEGEN,,,,,,,unmatched_ambiguous_symbol_candidates
DEGO,dego-finance,0.276514,0.553169378166,4311113.945771097206,5806141.393075590022,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
DENT,dent,0.00015726,2.525204170958,2001544.570388094289,15086112.583416838199,2026-04-14T07:38:04+00:00,matched_exact_symbol_unique
DEXE,dexe,10,0.870877827522,12510908.950337501243,467441719.718849778175,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
DIA,dia-data,0.177479,0.671149532491,2435270.697790361941,21239979.955934517086,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
DODOX,,,,,,,unmatched_no_symbol_candidate
DOG,,,,,,,unmatched_ambiguous_symbol_candidates
DOGE,,,,,,,unmatched_ambiguous_symbol_candidates
DOGS,,,,,,,unmatched_ambiguous_symbol_candidates
DOLO,dolomite,0.03272505,2.789626713728,2665972.469336942304,15134098.899605659768,2026-04-14T07:38:24+00:00,matched_exact_symbol_unique
DOOD,doodles,0.00305866,4.454195728632,14440346.259374313056,23857316.556700862944,2026-04-14T07:38:23+00:00,matched_exact_symbol_unique
DOT,,,,,,,unmatched_ambiguous_symbol_candidates
DRIFT,drift-protocol,0.04530229,-3.71491701924,21956122.36858362332,27703065.537179127336,2026-04-14T07:38:23+00:00,matched_exact_symbol_unique
DUSK,dusk-network,0.149502,-0.975283313621,15621752.05830299668,74786189.269224107265,2026-04-14T07:38:04+00:00,matched_exact_symbol_unique
DYDX,,,,,,,unmatched_ambiguous_symbol_candidates
DYM,dymension,0.01700772,1.75884090854,5297238.956258738413,8586190.458355007693,2026-04-14T07:38:09+00:00,matched_exact_symbol_unique
EDEN,,,,,,,unmatched_ambiguous_symbol_candidates
EDGE,edgex,0.869061,-3.656922628123,109602579.71484388411,305269893.890996098518,2026-04-14T07:38:28+00:00,matched_override_map
EDU,edu-coin,0.04922878,7.254962979812,17933146.343666616827,36156763.145209163427,2026-04-14T07:38:26+00:00,matched_exact_symbol_unique
EGLD,elrond-erd-2,3.82,2.979306665285,6024909.449042556807,113500658.044872194529,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
EIGEN,eigenlayer,0.163275,6.014228575415,19225619.991941895336,112838273.096305698156,2026-04-14T07:38:13+00:00,matched_exact_symbol_unique
ELSA,elsa,0.068647,7.996304222126,5307147.064970881678,15682069.106011174619,2026-04-14T07:38:17+00:00,matched_exact_symbol_unique
ENA,ethena,0.096933,6.136570119167,127858861.934942796826,849032777.074916362762,2026-04-14T07:38:25+00:00,matched_exact_symbol_unique
ENJ,enjincoin,0.04750949,35.816772990097,330369882.688131034374,93270675.1432685256,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
ENS,ethereum-name-service,5.88,5.429750499766,20978721.263302933425,225573891.494339823723,2026-04-14T07:38:08+00:00,matched_exact_symbol_unique
ENSO,enso,0.878012,1.326015102615,12376328.489038186148,18053533.873664967716,2026-04-14T07:38:20+00:00,matched_exact_symbol_unique
EPIC,,,,,,,unmatched_ambiguous_symbol_candidates
ERA,,,,,,,unmatched_ambiguous_symbol_candidates
ES,eclipse-3,0.160667,2.561406905242,5435505.895354911685,24095799.775287598372,2026-04-14T07:38:10+00:00,matched_exact_symbol_unique
ESP,,,,,,,unmatched_ambiguous_symbol_candidates
ESPORTS,yooldo-games,0.422793,-5.542549281119,4527884.353761971928,64292744.74764303863,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
ETC,ethereum-classic,8.44,2.741962427123,43251413.787995554507,1319695371.62956237793,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
ETH,,,,,,,unmatched_ambiguous_symbol_candidates
ETHBTC,,,,,,,unmatched_no_symbol_candidate
ETHFI,ether-fi,0.433334,5.797031314177,29063174.54403508082,341155290.294802546501,2026-04-14T07:38:27+00:00,matched_exact_symbol_unique
ETHW,ethereum-pow-iou,0.255556,2.440920832,2352671.236944843549,27555019.907718397677,2026-04-14T07:38:20+00:00,matched_exact_symbol_unique
EUL,euler,1.091,6.199186463782,5528839.708073550835,26351190.953904125839,2026-04-14T07:38:02+00:00,matched_exact_symbol_unique
EUR,,,,,,,unmatched_no_symbol_candidate
EVAA,evaa-protocol,0.820367,19.930505192968,10045955.196408830583,5424280.858174858615,2026-04-14T07:38:27+00:00,matched_exact_symbol_unique
EWH,,,,,,,unmatched_no_symbol_candidate
EWJ,,,,,,,unmatched_no_symbol_candidate
EWT,energy-web-token,0.44962,2.359120791491,308170.124084982031,27221896.828155785799,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
EWY,,,,,,,unmatched_no_symbol_candidate
F,,,,,,,unmatched_ambiguous_symbol_candidates
FARTCOIN,,,,,,,unmatched_ambiguous_symbol_candidates
"FARTCOIN,RAYDIUM,9BB6NFECJBCTNNLFKO2FQVQBQ8HHM13KCYYCDQBGPUMP",,,,,,,unmatched_no_symbol_candidate
FET,fetch-ai,0.238048,3.793703027582,79464650.715180143714,537802555.044508337975,2026-04-14T07:38:10+00:00,matched_exact_symbol_unique
FF,,,,,,,unmatched_ambiguous_symbol_candidates
FHE,mind-network,0.01850634,7.985995749541,7632720.614493615925,4655535.423856187612,2026-04-14T07:37:41+00:00,matched_exact_symbol_unique
FIDA,bonfida,0.01697556,2.608488467031,10734760.230943856761,16855124.368527971208,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
FIGHT,,,,,,,unmatched_ambiguous_symbol_candidates
FIL,,,,,,,unmatched_ambiguous_symbol_candidates
FIO,fio-protocol,0.00302937,-19.311861820781,5990209.848721955903,2574085.503486257978,2026-04-14T07:37:44+00:00,matched_exact_symbol_unique
FLOCK,,,,,,,unmatched_ambiguous_symbol_candidates
FLOKI,,,,,,,unmatched_ambiguous_symbol_candidates
FLOW,,,,,,,unmatched_ambiguous_symbol_candidates
FLR,flare-networks,0.00802806,3.962378832123,3945549.558658145834,687702346.142621636391,2026-04-14T07:38:02+00:00,matched_exact_symbol_unique
FLUID,instadapp,1.65,4.740635893536,2748663.498111668508,128973436.04015468061,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
FLUX,,,,,,,unmatched_ambiguous_symbol_candidates
FOGO,fogo,0.01765079,3.697500408615,5696472.59576312732,67199880.442716702819,2026-04-14T07:38:06+00:00,matched_exact_symbol_unique
FOLKS,folks,1.29,30.0989171491,15214209.398814495653,18305417.287489403039,2026-04-14T07:38:20+00:00,matched_exact_symbol_unique
FORM,,,,,,,unmatched_ambiguous_symbol_candidates
FRAX,,,,,,,unmatched_ambiguous_symbol_candidates
FRIEND,friend-tech,0.00466107,5.847153662177,14.840252228107,442266.439465761534,2026-04-14T07:37:44+00:00,matched_exact_symbol_unique
FTM,fantom,0.04675479,1.756077245499,1465.297466237273,0,2026-04-14T07:37:38+00:00,matched_exact_symbol_unique
FTT,ftx-token,0.290378,2.317044611285,2928223.991000315174,0,2026-04-14T07:38:17+00:00,matched_exact_symbol_unique
FUN,,,,,,,unmatched_ambiguous_symbol_candidates
FUTU,,,,,,,unmatched_no_symbol_candidate
FXS,,,,,,,unmatched_no_symbol_candidate
G,,,,,,,unmatched_ambiguous_symbol_candidates
GALA,gala,0.00299438,3.469536559056,19429229.167117182165,142654820.3755620718,2026-04-14T07:38:28+00:00,matched_exact_symbol_unique
GAS,,,,,,,unmatched_ambiguous_symbol_candidates
GE,,,,,,,unmatched_no_symbol_candidate
GIGA,,,,,,,unmatched_ambiguous_symbol_candidates
GIGGLE,giggle-fund,38.64,-6.708023155632,103683918.767381638288,38563005.477501057088,2026-04-14T07:38:05+00:00,matched_exact_symbol_unique
GLM,golem,0.127314,2.389364135731,5209313.527092299424,127340653.643080994487,2026-04-14T07:38:04+00:00,matched_exact_symbol_unique
GME,,,,,,,unmatched_ambiguous_symbol_candidates
